model,word_rep_mode,feature,metric_family,metric,class,mean_score,n_tokens,n_types,family_label,metric_label,model_label,row_label
bert-base-uncased,first,index,linear_id,lpca99,1,609.2730853740985,10067,1600,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,index,linear_id,lpca99,10,687.3230778620793,108145,12235,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,index,linear_id,lpca99,2,653.9884549654447,9647,2309,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,index,linear_id,lpca99,3,663.4884596604568,9800,2483,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,index,linear_id,lpca99,4,670.2423142653245,9932,2701,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,index,linear_id,lpca99,5,674.7923020582932,9948,2876,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,index,linear_id,lpca99,6,675.2076838566707,9972,2891,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,index,linear_id,lpca99,7,675.0230759840745,9559,2820,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,index,linear_id,lpca99,8,674.1961576021635,9142,2709,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,index,linear_id,lpca99,9,674.7692307692307,8704,2699,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,length,linear_id,lpca99,1,516.2307662963867,29626,74,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,length,linear_id,lpca99,10,662.3846153846154,7492,2782,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,length,linear_id,lpca99,2,567.1576931293195,29918,334,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,length,linear_id,lpca99,3,602.515383206881,36097,911,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,length,linear_id,lpca99,4,647.2461547851562,33008,1660,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,length,linear_id,lpca99,5,663.9307673527644,18892,2012,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,length,linear_id,lpca99,6,669.8730797400841,14274,2373,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,length,linear_id,lpca99,7,671.3538489708534,12188,2426,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,length,linear_id,lpca99,8,663.7230741060697,7895,2044,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,length,linear_id,lpca99,9,648.5884681114784,5526,1557,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,pos,linear_id,lpca99,ADJ,654.1076988807091,12648,2156,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,pos,linear_id,lpca99,ADP,551.3961475078876,17557,116,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,pos,linear_id,lpca99,ADV,594.2076838566707,9913,716,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,pos,linear_id,lpca99,AUX,510.969240628756,11526,90,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
