subset,model,feature,class,metric,layer,mean,ci_low,ci_high,metric_table_n_tokens,word_rep_mode,source_csv,source_path,source_path_relative,metric_family,n_tokens,n_types,model_label,metric_label,row_label
raw,bert-base-uncased,arity,1,gride,8,20.241106033325195,19.3115348815918,21.26418113708496,20239,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,20239,6441,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,1,gride,9,22.52271270751953,21.340633392333984,23.51709747314453,20239,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,20239,6441,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,1,gride,10,22.608747482299805,21.50688934326172,23.39903450012207,20239,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,20239,6441,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,1,gride,11,24.897905349731445,23.96166229248047,25.8701171875,20239,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,20239,6441,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,1,gride,12,27.700275421142575,26.82968521118164,28.409421920776367,20239,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,20239,6441,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,2,gride,0,15.999237060546877,13.901137351989746,20.009735107421875,18037,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,18037,5846,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,2,gride,1,17.295738220214844,15.4139404296875,20.65296936035156,18037,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,18037,5846,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,2,gride,2,19.368816375732425,17.535890579223633,22.76150131225586,18037,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,18037,5846,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,2,gride,3,19.663555145263672,18.017396926879883,22.54109001159668,18037,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,18037,5846,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,2,gride,4,19.57163429260254,18.582935333251957,21.612668991088867,18037,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,18037,5846,BERT,NLID (GRIDE),BERT NLID (GRIDE)
