model,feature,feature_label,metric_label,metric_source,class,early_layer,late_layer,layer0_mean,layer12_mean,delta_layer12_minus_layer0,abs_delta,pct_change_from_layer0,layer0_ci_low,layer0_ci_high,layer12_ci_low,layer12_ci_high,n_tokens,source_csv
GPT,head_dist,Head distance,IsoScore,iso,5,0,12,0.0058579128235578,0.0019056174205616,-0.0039522954029962,0.0039522954029962,-67.46934483391264,0.0057078800164163,0.0059837545268237,0.0018512131646275,0.0019698448013514,2883,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
GPT,head_dist,Head distance,IsoScore,iso,6,0,12,0.0059023485518991,0.0017572661163285,-0.0041450824355706,0.0041450824355706,-70.22767969602381,0.0057930727489292,0.0060296049341559,0.0017268370138481,0.0017931243637576,5107,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
GPT,head_dist,Head distance,LID,pca99,-6,0,12,650.6400146484375,104.8000030517578,-545.8400115966797,545.8400115966797,-83.89278238468245,649.2249755859375,652.0,97.4499969482422,111.0,19585,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
GPT,head_dist,Head distance,LID,pca99,-5,0,12,630.260009765625,175.52000427246094,-454.74000549316406,454.74000549316406,-72.15117545888218,627.2249755859375,633.0,158.6750030517578,193.5500030517578,4545,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
GPT,head_dist,Head distance,LID,pca99,-4,0,12,654.260009765625,188.8999938964844,-465.3600158691406,465.3600158691406,-71.12768760478669,652.0,656.0,173.22500610351562,204.0,6684,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
GPT,head_dist,Head distance,LID,pca99,-3,0,12,666.9199829101562,209.5800018310547,-457.33998107910156,457.33998107910156,-68.57494044239965,666.0,668.0,198.4499969482422,217.0,10487,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
GPT,head_dist,Head distance,LID,pca99,-2,0,12,672.719970703125,227.16000366210935,-445.5599670410156,445.5599670410156,-66.23260590514619,672.0,673.0,218.2250061035156,234.0,15690,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
GPT,head_dist,Head distance,LID,pca99,-1,0,12,592.2999877929688,174.72000122070312,-417.5799865722656,417.5799865722656,-70.50143426952519,589.2249755859375,596.0,163.22500610351562,188.1000061035156,13038,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
GPT,head_dist,Head distance,LID,pca99,1,0,12,630.9400024414062,291.5400085449219,-339.3999938964844,339.3999938964844,-53.79275249361029,629.2249755859375,632.0,288.2250061035156,295.7749938964844,53836,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
GPT,head_dist,Head distance,LID,pca99,2,0,12,560.8800048828125,242.77999877929688,-318.1000061035156,318.1000061035156,-56.714449317903195,557.2249755859375,564.7750244140625,238.0,247.0,26199,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
