model,comparison,canonical,metric,metric_label,n_layers,median_rel_diff_pct,mean_rel_diff_pct,max_rel_diff_pct,median_abs_diff,mean_abs_diff,spearman_r,pearson_r,layer12_mean_value,layer12_first_value,layer12_rel_diff_pct,source_csv,layer12_last_value
bert-base-uncased,mean vs first,True,mind_ml,MIND-ML,13,0.0,0.0,0.0,0.0,0.0,,,10.0,10.0,0.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_mind_ml.csv,
bert-base-uncased,mean vs last,False,mind_ml,MIND-ML,13,0.0,0.0,0.0,0.0,0.0,,,10.0,,0.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_mind_ml.csv,10.0
gpt2,mean vs first,False,mind_ml,MIND-ML,13,0.0,0.20910229193686075,2.71832979517919,0.0,0.010170423067532984,1.0,0.9999999999999999,4.996066093444824,4.863850593566895,2.71832979517919,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_mind_ml.csv,
gpt2,mean vs last,True,mind_ml,MIND-ML,13,0.0,0.16986032513986013,2.2081842268181817,0.0,0.008677959442138672,1.0,0.9999999999999999,4.996066093444824,,2.2081842268181817,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_mind_ml.csv,5.108879566192627
bert-base-uncased,mean vs first,True,mle,MLE,13,6.034767035419986,7.679341839943772,19.923293857135594,0.8440780639648473,1.4911093345055222,0.9780219780219779,0.9842157487506263,15.10053825378418,16.276140213012695,7.2228547053719,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_mle.csv,
bert-base-uncased,mean vs last,False,mle,MLE,13,6.193179263299803,7.528592927447855,20.611584013025553,0.7411899566650373,1.4605211111215444,0.9835164835164836,0.9836647804445761,15.10053825378418,,7.3967235388372545,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_mle.csv,16.306699752807617
gpt2,mean vs first,False,mle,MLE,13,11.207255138330224,8.74929986908836,14.141286163755314,1.3512020111083984,1.1498881486745978,1.0,0.9983210118187985,4.128684043884277,4.09993839263916,0.701123980221893,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_mle.csv,
gpt2,mean vs last,True,mle,MLE,13,1.0613108340446173,1.5848968137159067,4.952786382806822,0.1363124847412127,0.1821944530193625,1.0,0.99927938376863,4.128684043884277,,4.952786382806822,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_mle.csv,4.34382438659668
bert-base-uncased,mean vs first,True,mom,MoM,13,4.348883004041194,4.431400276126844,5.454267992384459,0.2990751266479492,0.323091800396259,1.0,0.9993184902378459,5.601273059844971,5.796213626861572,3.3632398590897763,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_mom.csv,
bert-base-uncased,mean vs last,False,mom,MoM,13,4.905091710332656,4.270360133742833,12.23248409461313,0.32334423065185547,0.2973103156456582,0.9615384615384615,0.9735159703381902,5.601273059844971,,4.312250057978526,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_mom.csv,5.853699207305908
gpt2,mean vs first,False,mom,MoM,13,24.900322165832925,30.362366598262973,70.36146711533962,0.25516510009765625,0.35438836079377395,0.8681318681318682,0.8059153789539195,0.6609563231468201,0.6674861311912537,0.9782687218953796,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_mom.csv,
gpt2,mean vs last,True,mom,MoM,13,27.510656791861777,28.370928731071338,53.12603044533495,0.2761431932449341,0.34448890961133516,0.8791208791208791,0.850664721028825,0.6609563231468201,,0.018672666444145464,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_mom.csv,0.6610797643661499
bert-base-uncased,mean vs first,True,pca95,PCA95,13,0.0,0.2826119291982746,1.2345679012345678,0.0,0.23076923076923078,0.9803960030989894,0.9955271093327894,80.0,80.0,0.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_pca95.csv,
bert-base-uncased,mean vs last,False,pca95,PCA95,13,0.0,0.5082799952419275,2.8169014084507045,0.0,0.38461538461538464,0.9818191420799279,0.9913147674487817,80.0,,0.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_pca95.csv,80.0
gpt2,mean vs first,False,pca95,PCA95,13,0.0,4.784565716769107,57.14285714285714,0.0,0.5384615384615384,0.9979487157886734,0.9987977233147997,6.0,6.0,0.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_pca95.csv,
gpt2,mean vs last,True,pca95,PCA95,13,0.0,5.742644452321871,50.0,0.0,0.46153846153846156,0.9332565252573828,0.9993504056513609,6.0,,0.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_pca95.csv,6.0
bert-base-uncased,mean vs first,True,pca99,PCA99,13,0.0,0.26159894684409024,1.25,0.0,0.23076923076923078,0.9745490848048558,0.9950915182172362,93.0,93.0,0.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_pca99.csv,
bert-base-uncased,mean vs last,False,pca99,PCA99,13,0.0,0.16544510069024407,1.0869565217391304,0.0,0.15384615384615385,0.9745490848048558,0.9957417043889443,93.0,,0.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_pca99.csv,93.0
gpt2,mean vs first,False,pca99,PCA99,13,7.8431372549019605,36.35700046559775,250.0,2.0,2.6923076923076925,0.9916316520429012,0.997048832484357,40.0,39.0,2.564102564102564,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_pca99.csv,
