model_key,comparison,feature,metric_label,metric_key,reference_metric,class_key,class,layer,mean_value,reference_value,mean_rank_within_plot,reference_rank_within_plot,mean_path,reference_path
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,2,2,4,0.0770800933241844,0.0220779199153184,21.0,24.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,2,2,5,0.0998732596635818,0.0257540363818407,24.0,29.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,2,2,6,0.1317030787467956,0.0315529704093933,29.0,42.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,2,2,7,0.1572848707437515,0.0342585183680057,35.0,50.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,2,2,8,0.1667846441268921,0.0338982045650482,39.0,47.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,2,2,9,0.1696374118328094,0.0307314321398735,42.0,37.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,2,2,10,0.1695501655340194,0.0296054556965827,41.0,34.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,2,2,11,0.1686125695705413,0.028409082442522,40.0,31.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,2,2,12,0.1390897333621978,0.0279827769845724,31.0,30.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,3,3,0,0.0350509099662303,0.0107164224609732,9.0,14.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
